directory ,file_name,variable_name,variable_type,description,unit
raw_data,irradiance_2025-01-31_to_2025-02-22.csv,Measurement_ID,int,measurement identifier,NA
raw_data,irradiance_2025-01-31_to_2025-02-22.csv,Date,datetime,measurement date,NA
raw_data,irradiance_2025-01-31_to_2025-02-22.csv,Time,datetime,measurement time,NA
raw_data,irradiance_2025-01-31_to_2025-02-22.csv,Value,float,measured light intensity,lux
raw_data,irradiance_2025-01-31_to_2025-02-22.csv,Unit,string,unit of measurement,NA
raw_data,lab_results_sludge_samples.csv,Sample name,string,identifier or label of the sludge sample,NA
raw_data,lab_results_sludge_samples.csv,Date,datetime,date of sampling,NA
raw_data,lab_results_sludge_samples.csv,Time,datetime,time of sampling,NA
raw_data,lab_results_sludge_samples.csv,T1,float,temperature at the pasteurizer's outlet,deg C
raw_data,lab_results_sludge_samples.csv,T2,float,main tank's temperature,deg C
raw_data,lab_results_sludge_samples.csv,Flow Rate,float,flow rate of system,Liter/hour
raw_data,lab_results_sludge_samples.csv,Total Coliform,float,total coliform count,CFU/100mL
raw_data,lab_results_sludge_samples.csv,Ecoli,float,E. coli count,CFU/100mL
raw_data,temp_2025-02-14_to_2025-02-21.csv,date,datetime,measurement date,NA
raw_data,temp_2025-02-14_to_2025-02-21.csv,time,datetime,measurement time,NA
raw_data,temp_2025-02-14_to_2025-02-21.csv,T1_degC,float,temperature at the pasteurizer's outlet,deg C
raw_data,temp_2025-02-14_to_2025-02-21.csv,T2_degC,float,main tank's temperature,deg C
raw_data,temp_2025-02-14_to_2025-02-21.csv,T3_degC,float,pasteurizer's inlet temperature (and heat exchanger outlet temperature),deg C
raw_data,temp_2025-02-14_to_2025-02-21.csv,T4_degC,float,raw sluge temperature at the inlet to the heat exchanger,deg C
raw_data,temp_2025-02-22_to_2025-02-23.csv,date,datetime,measurement date,NA
raw_data,temp_2025-02-22_to_2025-02-23.csv,time,datetime,measurement time,NA
raw_data,temp_2025-02-22_to_2025-02-23.csv,T1_degC,float,temperature at the pasteurizer's outlet,deg C
raw_data,temp_2025-02-22_to_2025-02-23.csv,T2_degC,float,main tank's temperature,deg C
raw_data,temp_2025-02-22_to_2025-02-23.csv,T3_degC,float,pasteurizer's inlet temperature (and heat exchanger outlet temperature),deg C
raw_data,temp_2025-02-22_to_2025-02-23.csv,T4_degC,float,raw sluge temperature at the inlet to the heat exchanger,deg C
raw_data,temp_2025-02-23_to_2025-02-27.csv,date,datetime,measurement date,NA
raw_data,temp_2025-02-23_to_2025-02-27.csv,time,datetime,measurement time,NA
raw_data,temp_2025-02-23_to_2025-02-27.csv,T1_degC,float,temperature at the pasteurizer's outlet,deg C
raw_data,temp_2025-02-23_to_2025-02-27.csv,T2_degC,float,main tank's temperature,deg C
raw_data,temp_2025-02-23_to_2025-02-27.csv,T3_degC,float,pasteurizer's inlet temperature (and heat exchanger outlet temperature),deg C
raw_data,temp_2025-02-23_to_2025-02-27.csv,T4_degC,float,raw sluge temperature at the inlet to the heat exchanger,deg C
raw_data,temp_hx_2025-02-23_to_2025-02-27.csv,date,datetime,measurement date,NA
raw_data,temp_hx_2025-02-23_to_2025-02-27.csv,time,datetime,measurement time,NA
raw_data,temp_hx_2025-02-23_to_2025-02-27.csv,T6_degC,float,tempearture at the heat exchanger inlet,deg C
raw_data,temp_hx_2025-02-23_to_2025-02-27.csv,T5_degC,float,tempearture at the heat exchanger outlet,deg C
