Sample name,Date,Time,T1,T2,Flow Rate,Total Coliform,Ecoli
Raw sludge AD outlet V1,2025-02-10,,,,,,316134.0
Sample Version 1 ,2025-02-20,15:10,69.8,75.9,-,0.0,0.0
Raw sludge top tank V2,2025-02-22,15:22,,,,90000.0,36000.0
Sample Version 2 ,2025-02-23,14:15,53.0,77.0,,200.0,0.0
Raw sludge top tank V3,2025-02-23,17:40,,,,89000.0,39000.0
S1 V3,2025-02-25,11:15,58.0,58.0,2.5,1600.0,0.0
S2 V3,2025-02-25,13:25,65.0,66.0,3,1200.0,0.0
S3 V3,2025-02-25,15:24,75.7,71.7,1.5,32000.0,0.0
S4 V3,2025-02-25,16:00,73.6,72.3,1.5,100.0,0.0
S5 V3,2025-02-26,10:30,57.0,50.0,0.85,0.0,0.0
S6 V3,2025-02-26,13:20,68.0,59.0,0.85,100.0,0.0
S7 V3,2025-02-26,15:00,70.6,65.3,6.5,0.0,0.0
S8 V3,2025-02-27,11:35,54.0,46.0,3,0.0,0.0
S9 V3,2025-02-27,13:50,61.0,54.0,3,0.0,0.0
Raw sludge AD outlet R1,2025-02-27,,,,,172000.0,106000.0
Raw sludge top tank R2,2025-02-27,,,,,252000.0,240000.0
