date,time,T6_degC,T5_degC
2025-02-23,17:34:04,28.5,28.2
2025-02-23,17:39:04,29.1,27.5
2025-02-23,17:44:04,28.9,28.9
2025-02-23,17:49:04,44.7,37.6
2025-02-23,17:54:04,49.7,47.1
2025-02-23,17:59:04,47.3,38.5
2025-02-23,18:04:04,43.4,38.4
2025-02-23,18:09:04,39.9,34.2
2025-02-23,18:14:04,37.1,31.8
2025-02-23,18:19:04,37.9,32.7
2025-02-23,18:24:04,37.1,31.7
2025-02-23,18:29:04,37.2,31.2
2025-02-23,18:34:04,37.9,31.7
2025-02-23,18:39:04,35.4,30.1
2025-02-23,18:44:04,36.9,31.4
2025-02-23,18:49:04,37.6,31.7
2025-02-23,18:54:04,39.4,31
2025-02-23,18:59:04,38.9,31
2025-02-23,19:04:04,38.4,30.6
2025-02-23,19:09:04,38.2,30
2025-02-23,19:14:04,37.8,29.7
2025-02-23,19:19:04,37.6,29.3
2025-02-23,19:24:04,37.4,29.1
2025-02-23,19:29:04,37.1,28.8
2025-02-23,19:34:04,36.9,28.4
2025-02-23,19:39:04,36.9,28.3
2025-02-23,19:44:04,36.9,28.2
2025-02-23,19:49:04,36.6,27.9
2025-02-23,19:54:04,36.6,27.9
2025-02-23,19:59:04,36.6,27.9
2025-02-23,20:04:04,36.8,27.9
2025-02-23,20:09:04,36.7,27.9
2025-02-23,20:14:04,36.7,27.9
2025-02-23,20:19:04,36.7,27.9
2025-02-23,20:24:04,36.5,27.8
2025-02-23,20:29:04,36.2,27.7
2025-02-23,20:34:04,36.1,27.7
2025-02-23,20:39:04,35.8,27.5
2025-02-23,20:44:04,35.5,27.5
2025-02-23,20:49:04,35.2,27.2
2025-02-23,20:54:04,35,27.1
2025-02-23,20:59:04,34.9,27
2025-02-23,21:04:04,34.9,26.9
2025-02-23,21:09:04,34.9,26.8
2025-02-23,21:14:04,34.9,26.8
2025-02-23,21:19:04,34.4,26.6
2025-02-23,21:24:04,34.2,26.4
2025-02-23,21:29:04,34.2,26.2
